event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0307,3,0,"[2.22, 5.44, 0.49]","[2.2427, -1.8742, 0.059]","[0.0, 1.555388, 1.765121]","[-0.19579, -0.00025, 0.00342]","[-0.17189, 0.11852, 0.00807]","[0.3059, 0.8787, 5.2701]","[-0.0021, 0.7307, 1.0737]","[-0.1893, 0.1199, -0.3499]","[0.12002, 0.60975, 4.80289]"
0308,5,0,"[5.02, 3.65, 6.32, 5.4, 0.01]","[-6.5974, 3.3904, 12.0923, -6.7937, 0.0]","[12.67711, 0.0, 12.13873, 12.69139, 48.4383]","[-0.15771, -0.28992, 0.23145, 0.44962, 0.00012]","[-0.43916, 0.51509, -0.42295, -0.08195, -0.00021]","[0.443, 0.339, 0.39, 0.4084, 208.6885]","[0.4772, 0.1737, 0.2701, -0.6786, 12.1163]","[-0.4838, 0.3344, 0.4653, 0.1915, 6.6571]","[0.06729, 0.0273, 0.04787, 0.05863, 207.175]"
0309,3,0,"[4.55, 4.56, 0.01]","[1.9027, -0.9007, 0.0]","[0.0, 106.4167, 166.4066]","[-0.6534, 0.25748, 0.00042]","[-0.45786, 0.20926, 0.00031]","[0.2319, 0.4118, 415.3602]","[-0.0444, -0.2016, -13.8766]","[-0.2498, -1.1898, 2.4523]","[0.00605, 0.0725, 414.1247]"
0310,3,0,"[4.63, 7.85, 0.05]","[-1.2812, 2.7751, 0.0004]","[105.0424, 0.0, 125.863]","[-0.17314, 0.37692, -0.00215]","[-0.31133, 0.78249, -0.00353]","[0.8414, 0.3022, 49.8482]","[0.487, 0.2274, 1.9532]","[-0.754, -0.2736, -10.0099]","[0.05024, 0.00418, 44.13927]"
0311,3,0,"[4.25, 1.55, 0.05]","[1.3626, -0.2295, 0.0015]","[0.0, 57.95316, 61.13302]","[0.30458, -0.05043, -0.00317]","[0.32546, -0.0764, -0.00495]","[0.1316, 0.9892, 28.2542]","[0.0199, 0.6823, 5.4699]","[-0.1407, -1.9726, -6.2486]","[0.01359, 0.77892, 27.88168]"
0312,3,0,"[2.77, 4.91, 0.71]","[-0.3826, 1.8672, 0.0096]","[83.50122, 0.0, 85.96004]","[0.12351, -0.50272, 0.01742]","[-0.37809, 1.75192, -0.04934]","[1.2956, 0.2253, 12.3077]","[1.3825, 0.2176, 3.5902]","[0.8889, 0.1311, 3.3668]","[0.89114, 0.02645, 11.61363]"
0020,3,2,"[54.56, 34.11, 0.86]","[2.9744, -1.9598, 0.005]","[0.0, 14.10335, 19.57424]","[-0.17989, 0.2551, 0.00375]","[-0.74225, 0.33685, 0.00868]","[0.2814, 0.5359, 15.3037]","[0.3077, 0.1291, 1.8115]","[-0.2923, -0.842, 0.0706]","[0.08488, 0.26191, 14.66933]"
0096,3,1,"[5.86, 8.81, 0.78]","[-1.5847, 5.4106, 0.0056]","[35.67297, 0.0, 44.30912]","[0.14793, 0.02966, 0.00471]","[-0.44318, 0.94864, -0.01316]","[0.7417, 0.4085, 14.8297]","[0.7358, 0.4056, 0.8167]","[0.3955, -0.0239, 3.6125]","[0.23623, 0.03336, 13.66701]"
0313,3,0,"[5.35, 4.47, 0.02]","[2.3194, -0.3076, 0.0]","[0.0, 111.985, 143.0383]","[1.14637, -0.22613, -0.00135]","[-1.09131, 0.40617, 0.00191]","[0.3047, 0.77, 248.4118]","[0.0638, 1.0869, 10.1155]","[0.2197, 1.4567, 58.1085]","[0.00804, 0.21976, 246.7749]"
0097,5,2,"[4.92, 12.39, 6.8, 8.44, 1.25]","[-4.3196, 10.2176, 2.7485, -7.3735, 0.1139]","[3.464231, 3.145536, 0.0, 3.21064, 4.158077]","[0.07604, 0.22154, -0.33928, 0.15384, 0.0106]","[-0.1614, -0.01072, 0.09453, 0.10562, -0.00513]","[0.8041, 0.5975, 0.3848, 0.6835, 4.0877]","[0.4569, -0.2391, -0.1141, 0.0074, -0.3169]","[0.2473, -0.0836, 0.0396, -0.4855, 0.8078]","[0.03337, 0.01615, 0.00867, 0.01132, 0.90593]"
