event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0060,3,1,"[10.36, 6.56, 0.11]","[3.2187, -1.497, 0.0007]","[0.0, 1540.604, 1578.376]","[-2.79168, 0.31471, 0.01058]","[-4.99552, 0.60441, 0.01751]","[0.441, 1.2706, 40.598]","[0.0351, 0.5368, 4.2693]","[-0.0226, -0.6731, -12.0502]","[0.00037, 0.14095, 38.2732]"
0092,3,1,"[9.29, 7.44, 0.04]","[2.5152, -5.112, 0.0001]","[0.0, 12.82914, 33.20069]","[-0.1248, -0.01264, 2e-05]","[-0.52853, 0.40799, 0.00079]","[0.2285, 0.3738, 125.3193]","[0.3313, 0.7651, 37.3518]","[-0.2963, -0.0496, 20.0564]","[0.05322, 0.17152, 124.6061]"
0093,3,1,"[8.1, 3.51, 0.11]","[2.9866, -0.5873, 0.0012]","[0.0, 117.6921, 139.722]","[1.20152, -0.47611, -0.01332]","[-1.37988, 0.51598, 0.01475]","[0.3269, 0.8459, 31.6105]","[0.0624, 0.1091, 0.8601]","[0.3382, 1.3094, 10.4449]","[0.04505, 0.45728, 30.82432]"
0061,3,1,"[4.15, 9.09, 0.0]","[-1.3205, 19.9043, 0.0]","[75.98471, 0.0, 209.0219]","[-0.0488, 0.01528, -2e-05]","[-0.48683, 0.68843, -0.00041]","[0.4109, 0.3142, 312.0251]","[1.0279, 0.6469, 36.3622]","[-0.2183, -0.0412, 6.9568]","[0.08463, 0.03361, 310.7608]"
0062,3,1,"[10.0, 3.66, 0.18]","[-5.4139, 4.19, 0.0024]","[246.9831, 0.0, 295.475]","[1.11926, -0.45176, 0.01201]","[-1.173, 3.46682, -0.02053]","[0.8417, 0.4506, 22.2375]","[-0.0374, 0.2197, 0.4058]","[0.4565, 0.1222, 6.2423]","[0.03872, 0.00236, 19.31383]"
0063,3,1,"[2.57, 10.34, 0.18]","[-0.6643, 10.7228, 0.0047]","[34.45417, 0.0, 39.81254]","[-0.33322, 0.77973, -0.01529]","[0.02354, 0.05178, 0.0009]","[0.9922, 0.3795, 16.6032]","[-1.2179, -0.5341, -5.6108]","[0.1484, -0.0808, 0.9487]","[0.4182, 0.05869, 14.98262]"
0064,3,1,"[7.69, 13.51, 0.31]","[-0.5353, 4.653, 0.0024]","[54.62587, 0.0, 66.27249]","[-0.42937, 0.94154, -0.01567]","[-0.05209, 0.01114, -0.00181]","[1.017, 0.3464, 24.5788]","[-1.3329, -0.4603, -11.2234]","[-0.3031, 0.02, -3.1078]","[0.73277, 0.12561, 24.03218]"
0094,3,1,"[4.57, 10.63, 0.35]","[-1.1071, 2.7887, 0.0146]","[160.8829, 0.0, 169.1344]","[0.29036, -0.99357, 0.02184]","[0.10895, 0.42091, 0.00389]","[1.2414, 0.3548, 9.9718]","[-0.6829, -0.1956, -2.7935]","[-0.7037, 0.1395, -2.0998]","[0.18586, 0.00537, 7.41418]"
0066,3,1,"[6.15, 13.04, 0.17]","[-1.3148, 3.0774, 0.0019]","[59.14821, 0.0, 73.21403]","[0.03108, 0.06937, 0.00056]","[-0.35851, 0.81353, -0.00846]","[0.7707, 0.3696, 25.6986]","[0.8924, 0.2621, 8.0372]","[0.1299, -0.0617, 2.5546]","[0.30506, 0.03753, 24.61443]"
0095,3,1,"[10.82, 3.34, 0.06]","[2.1493, -1.1992, 0.0006]","[0.0, 16.341, 25.47155]","[-0.06193, 0.10266, 0.00094]","[-0.51798, 0.28777, 0.00301]","[0.1558, 0.4009, 43.6853]","[0.4889, 0.8923, 3.5007]","[-0.0911, -0.6298, -7.2814]","[0.07317, 0.30237, 43.45339]"
