event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0049,1,1,[12.88],[6.0328],[0.0],[1.06306],[0.28786],[0.4764],[-0.2722],[-0.1853],[0.10888]
0050,3,1,"[10.9, 2.15, 0.08]","[3.0483, -0.8491, 0.0002]","[0.0, 70.19897, 104.3771]","[1.15592, 0.28257, 0.00145]","[-1.38161, 0.78991, 0.00409]","[0.3736, 0.7514, 71.3479]","[0.1483, 0.9329, -3.2242]","[0.2058, -0.6077, -20.1867]","[0.00869, 0.11615, 69.59875]"
0051,3,1,"[14.43, 0.81, 0.02]","[3.085, -0.0047, 0.0]","[0.0, 1310.257, 1324.496]","[-1.8926, 0.07023, 0.00303]","[3.07532, -0.09088, -0.00401]","[0.3152, 6.0672, 339.5323]","[0.0617, 3.6321, 39.8989]","[0.3754, 14.9449, 113.911]","[0.00026, 3.82114, 335.2467]"
0008,3,2,"[14.42, 16.76, 5.78]","[-3.5416, 2.542, 0.5437]","[0.443978, 0.0, 0.450464]","[-0.01244, 0.03664, -0.004]","[-0.00031, 0.00239, -0.00011]","[1.0304, 0.307, 2.4873]","[-0.5266, -0.2698, -0.6067]","[-0.0775, -0.1184, 0.0676]","[0.87174, 0.18117, 2.29414]"
0052,1,1,[10.64],[3.3474],[0.0],[-0.33276],[-0.34549],[0.3896],[-0.0179],[-0.2712],[0.04151]
0053,1,1,[23.16],[21.8018],[0.0],[-3.9632],[-2.65088],[0.5909],[-0.1229],[-0.3261],[0.00171]
0054,1,1,[27.67],[6.0682],[0.0],[7.44135],[-9.28708],[0.4661],[0.1356],[0.3191],[0.00072]
0055,5,1,"[1.35, 7.37, 11.96, 2.69, 0.07]","[-0.7119, 3.6033, 7.9906, -6.7474, 0.0009]","[539.6975, 0.0, 232.3501, 242.4535, 619.8044]","[0.42226, -4.86068, 2.6501, 0.8076, 0.00944]","[-1.17542, 0.67097, 2.53306, 2.98325, -0.01723]","[1.0631, 0.4597, 0.5658, 0.6767, 33.8498]","[0.9492, -0.0097, 0.1723, 0.496, 3.7123]","[0.7125, 0.1196, -0.1836, -0.082, 3.073]","[0.15018, 0.00479, 0.01678, 0.02065, 31.8638]"
0009,3,2,"[27.54, 18.24, 3.44]","[3.4597, -0.8683, 0.1109]","[0.0, 27.05689, 27.44425]","[-0.38281, 0.14592, 0.03826]","[-0.85165, 0.19893, 0.05406]","[0.3557, 1.4179, 4.5158]","[0.2379, 0.3514, 0.4753]","[-0.2636, -1.0967, -1.7654]","[0.06892, 0.90316, 3.78508]"
0056,1,1,[18.57],[4.6152],[0.0],[-1.57568],[-4.98513],[0.4477],[0.243],[-0.1711],[0.00356]
0057,3,1,"[33.07, 0.05, 2.09]","[3.1122, 0.0006, -0.02]","[0.0, 493.2624, 490.5724]","[-1.89871, 0.02459, 0.14255]","[2.07782, -0.01155, -0.07271]","[0.3447, 51.5903, 6.0605]","[0.0454, -21.8545, -4.5096]","[0.3256, 23.2166, 7.4376]","[0.0015, 48.57909, 4.07174]"
0058,1,1,[32.96],[5.7009],[0.0],[0.07135],[0.22694],[0.4675],[0.2513],[-0.2121],[0.0158]
0059,3,2,"[9.73, 9.89, 0.81]","[2.5816, -4.1309, 0.0233]","[0.0, 13.74841, 16.58783]","[0.16143, 0.05488, -0.00146]","[-0.39911, 0.21628, 0.00805]","[0.321, 0.7352, 7.6158]","[0.2129, 0.4573, 0.8812]","[0.1684, -0.3211, 0.0489]","[0.00435, 0.02762, 3.69415]"
0060,3,1,"[21.49, 2.82, 0.09]","[3.493, -0.2604, 0.0006]","[0.0, 48.50122, 56.31123]","[-0.69876, 0.2409, 0.00699]","[-0.12669, 0.02615, 0.00081]","[0.2779, 1.0026, 46.38]","[-0.4491, -1.9098, -16.3538]","[-0.1829, -0.44, -3.1688]","[0.04528, 0.64439, 45.61268]"
0011,3,2,"[11.66, 9.91, 2.58]","[-1.0743, 3.3357, 0.0656]","[22.32864, 0.0, 23.1538]","[-0.16653, 0.55818, -0.02843]","[-0.11747, 0.27573, -0.01985]","[1.0527, 0.3193, 5.1674]","[-0.385, -0.2597, -0.2387]","[-0.8862, -0.3102, -1.4377]","[0.6782, 0.07318, 4.58645]"
0061,1,1,[12.67],[4.8342],[0.0],[-1.34135],[6.59724],[0.4916],[0.1244],[0.1902],[0.0182]
0062,1,1,[29.44],[4.8523],[0.0],[1.2545],[4.40582],[0.4569],[0.1971],[-0.2237],[0.00382]
0063,1,1,[15.45],[3.7358],[0.0],[0.16194],[-0.13379],[0.4173],[-0.0864],[0.2537],[0.00583]
0064,1,1,[29.46],[4.9435],[0.0],[-6.21194],[8.89745],[0.4493],[0.0716],[0.3095],[0.0003]
0065,1,1,[21.2],[3.5083],[0.0],[-0.71945],[0.18523],[0.3698],[-0.3324],[-0.0408],[0.00306]
0066,3,2,"[17.79, 14.35, 0.01]","[4.0317, -1.0493, 0.0]","[0.0, 65.58843, 105.0458]","[0.6462, -0.33933, -0.00039]","[-0.98675, 0.46756, 0.00063]","[0.3555, 0.6946, 424.8278]","[0.1495, 0.2805, 59.8575]","[0.3807, 0.9837, 64.3479]","[0.00617, 0.04626, 419.1209]"
0067,3,1,"[15.47, 6.25, 1.03]","[3.5742, -0.3454, 0.0304]","[0.0, 34.43354, 35.14465]","[0.65002, -0.17562, -0.0383]","[-0.16351, 0.02088, 0.00403]","[0.2375, 1.5867, 7.6748]","[-0.4565, -1.7068, -3.3946]","[0.3053, 0.5708, 0.3603]","[0.09404, 1.38937, 7.41492]"
0068,3,2,"[9.76, 11.14, 0.31]","[5.6136, -2.2093, 0.003]","[0.0, 195.9213, 275.5232]","[-0.39433, 0.97975, 0.0086]","[-2.07994, 0.78678, 0.01056]","[0.4619, 0.8944, 20.0777]","[0.3171, -0.2266, 2.8664]","[-0.1042, -0.6422, -4.3087]","[0.00912, 0.0162, 14.41126]"
0069,1,1,[9.36],[6.1557],[0.0],[0.1234],[-0.41999],[0.4348],[0.2449],[0.3115],[0.0237]
0070,1,1,[16.3],[3.1508],[0.0],[-0.0521],[0.1098],[0.3271],[0.2112],[0.3013],[0.18618]
0071,1,1,[27.12],[4.2145],[0.0],[0.45974],[0.54106],[0.3838],[0.0993],[-0.364],[0.01432]
0072,3,1,"[14.8, 0.13, 3.43]","[3.8432, 0.0003, -0.1941]","[0.0, 230.3206, 211.3548]","[-0.89389, 0.00094, 0.04947]","[-0.59211, 0.00541, 0.20734]","[0.4043, 66.543, 1.3274]","[0.08, 23.1544, 1.9453]","[-0.297, 1.4119, -1.2144]","[0.00289, 64.38865, 0.41847]"
0073,3,1,"[8.92, 1.58, 0.15]","[3.131, -0.2567, 0.0158]","[0.0, 51.61325, 51.95228]","[0.30661, -0.04823, -0.011]","[0.34195, -0.02341, -0.00634]","[0.4138, 2.4476, 12.1171]","[-0.1012, -1.8268, -3.8903]","[-0.1185, -1.6289, -6.7097]","[0.01043, 1.36371, 10.49598]"
0074,1,1,[8.4],[3.1013],[0.0],[4.16564],[4.4176],[0.4103],[-0.0233],[-0.1574],[0.02919]
0075,3,1,"[8.6, 3.51, 0.09]","[3.1629, -0.4303, 0.0003]","[0.0, 83.42983, 99.6976]","[-0.33161, 0.2184, 0.00386]","[-1.09596, 0.32616, 0.00588]","[0.3396, 0.9042, 59.9245]","[0.271, 0.6206, 4.4798]","[-0.2158, -1.3958, -19.9187]","[0.01875, 0.37838, 58.6498]"
0076,3,1,"[1.89, 20.9, 0.07]","[-0.5544, 10.6878, 0.0]","[92.98415, 0.0, 126.4719]","[0.14496, -0.26235, 0.00046]","[-0.32773, 0.88672, -0.00161]","[0.8578, 0.4722, 160.0485]","[0.8286, 0.3363, 37.5441]","[1.0664, 0.2682, -0.4174]","[0.1147, 0.00942, 157.6676]"
0077,1,1,[14.52],[3.78],[0.0],[-5.02512],[-4.54535],[0.3955],[-0.0804],[-0.3072],[0.00159]
0078,3,1,"[11.5, 3.45, 0.23]","[3.1684, -0.1606, 0.0019]","[0.0, 461.1867, 473.6274]","[-0.4945, 0.10882, 0.00876]","[2.59444, -0.37638, -0.03457]","[0.3724, 1.8298, 26.7948]","[0.2525, 2.1555, 10.1901]","[0.1202, 1.5061, 5.1448]","[0.00832, 0.98299, 25.32301]"
0079,1,1,[17.01],[3.2697],[0.0],[0.14366],[0.19344],[0.4044],[0.0996],[-0.1975],[0.01437]
0080,3,1,"[1.38, 8.03, 0.04]","[-0.5097, 3.2823, 0.0011]","[51.31647, 0.0, 59.71013]","[-0.21876, 0.79424, -0.00598]","[-0.17444, 0.01885, -0.00458]","[1.0262, 0.3631, 33.7658]","[-0.3822, -0.3024, 0.2226]","[-1.3478, -0.0975, -12.735]","[0.38819, 0.01374, 32.24512]"
0081,1,1,[8.27],[3.744],[0.0],[-1.56011],[-0.69637],[0.4437],[-0.2025],[0.0375],[0.00621]
0082,1,1,[17.74],[3.067],[0.0],[7.04364],[-3.56411],[0.3784],[-0.1981],[0.1454],[0.00027]
0037,5,4,"[33.33, 39.37, 63.3, 58.15, 7.93]","[-4.234, 4.9808, 13.5294, -11.4589, 0.2578]","[0.171534, 0.0, 0.10186, 0.105005, 0.197557]","[-0.04045, 0.09695, -0.03699, 0.00597, -0.00379]","[-0.04058, -0.03394, 0.07532, 0.0814, -0.00176]","[0.9858, 0.4901, 0.6201, 0.7537, 3.0995]","[0.0111, -0.2052, 0.1663, 0.3741, -0.0119]","[-0.4861, 0.1309, 0.2068, -0.0894, -0.7274]","[0.63467, 0.19705, 0.32006, 0.45061, 2.47686]"
0017,3,2,"[9.11, 8.15, 0.04]","[4.2609, -2.9594, 0.0002]","[0.0, 192.3077, 294.0638]","[-0.62425, -0.16685, -0.00041]","[-2.1739, 1.16369, 0.00505]","[0.4673, 0.714, 74.854]","[0.1745, 0.6249, 12.6662]","[-0.1366, 0.1711, 15.3474]","[0.00806, 0.07822, 72.8908]"
0083,1,1,[9.36],[4.1788],[0.0],[-4.04803],[-0.05311],[0.3562],[-0.2928],[0.299],[0.00012]
0084,1,1,[11.35],[3.3294],[0.0],[-0.01691],[-0.03041],[0.3621],[0.2386],[-0.2227],[0.00046]
0085,1,1,[8.3],[3.0577],[0.0],[23.27334],[1.58223],[0.3852],[-0.1896],[-0.1227],[0.00661]
0086,1,1,[8.63],[8.1732],[0.0],[-0.06337],[-0.06861],[0.5072],[0.1619],[-0.307],[0.20102]
0087,1,1,[18.33],[3.0082],[0.0],[-3.92296],[-3.24564],[0.358],[-0.1714],[-0.2243],[0.0006]
0088,3,1,"[10.41, 7.46, 0.01]","[3.4569, -0.8759, 0.0]","[0.0, 115.8886, 182.1842]","[1.02306, -0.58447, -0.00124]","[-0.87996, -0.03013, 0.00013]","[0.4263, 0.7905, 212.0919]","[-0.0801, -1.07, -38.1517]","[0.1827, -0.2017, 4.407]","[0.00749, 0.08768, 209.7808]"
0089,1,1,[16.16],[4.0829],[0.0],[-44.29711],[-11.05615],[0.422],[-0.2543],[-0.1565],[0.00021]
0090,3,1,"[9.74, 2.88, 0.05]","[3.151, -2.4979, 0.0011]","[0.0, 13.30493, 23.72144]","[0.34819, -0.34147, -0.00216]","[-0.46149, 0.0606, 0.00155]","[0.3785, 0.5482, 32.3879]","[0.0241, -0.7758, -1.0826]","[0.2613, 0.0508, 9.5521]","[0.07915, 0.16957, 31.15671]"
0021,3,2,"[13.54, 9.48, 0.01]","[-4.7519, 2.6049, 0.0]","[64.37154, 0.0, 162.6336]","[-0.28103, 0.50144, -0.00018]","[-0.33576, 0.44289, -0.00017]","[0.4109, 0.2933, 506.3655]","[0.1244, -0.0876, 11.1191]","[-0.7362, -0.3284, -75.0377]","[0.0558, 0.01635, 504.7781]"
0091,3,1,"[11.45, 1.24, 0.02]","[3.5896, -0.0514, 0.0]","[0.0, 872.1771, 940.1921]","[-1.32586, 0.10452, 0.00078]","[1.03031, -0.17468, -0.00208]","[0.3417, 1.5378, 300.8903]","[-0.0225, 1.7065, 74.6874]","[0.3928, 4.1044, -29.0432]","[0.00064, 0.32767, 297.7766]"
0092,1,1,[10.57],[3.3531],[0.0],[-3.84101],[5.55495],[0.3618],[0.1502],[0.294],[0.0041]
